,eventurl,eventurlid,datestring,fighttitlefullname,fighttitlecategory,location
0,http://ufcstats.com/event-details/1fac46d466abd5b8,1fac46d466abd5b8,"March 26, 2022",UFC Fight Night: Blaydes vs. Daukaus,UFC Fight Night,"Columbus, Ohio, USA"
1,http://ufcstats.com/event-details/1d00756835ca67c9,1d00756835ca67c9,"March 19, 2022",UFC Fight Night: Volkov vs. Aspinall,UFC Fight Night,"London, England, United Kingdom"
2,http://ufcstats.com/event-details/1f9344211ca7fd60,1f9344211ca7fd60,"March 12, 2022",UFC Fight Night: Santos vs. Ankalaev,UFC Fight Night,"Las Vegas, Nevada, USA"
3,http://ufcstats.com/event-details/75e0d3cc2262b732,75e0d3cc2262b732,"March 05, 2022",UFC 272: Covington vs. Masvidal,UFC 272,"Las Vegas, Nevada, USA"
4,http://ufcstats.com/event-details/f6a7b02c42e9fc5b,f6a7b02c42e9fc5b,"February 26, 2022",UFC Fight Night: Makhachev vs. Green,UFC Fight Night,"Las Vegas, Nevada, USA"
5,http://ufcstats.com/event-details/77940e45bc86208e,77940e45bc86208e,"February 19, 2022",UFC Fight Night: Walker vs. Hill,UFC Fight Night,"Las Vegas, Nevada, USA"
6,http://ufcstats.com/event-details/cbb682f5fcc44bfc,cbb682f5fcc44bfc,"February 12, 2022",UFC 271: Adesanya vs. Whittaker 2,UFC 271,"Houston, Texas, USA"
7,http://ufcstats.com/event-details/883922e5cd6d8473,883922e5cd6d8473,"February 05, 2022",UFC Fight Night: Hermansson vs. Strickland,UFC Fight Night,"Las Vegas, Nevada, USA"
8,http://ufcstats.com/event-details/335ad945324c3a2e,335ad945324c3a2e,"January 22, 2022",UFC 270: Ngannou vs. Gane,UFC 270,"Anaheim, California, USA"
9,http://ufcstats.com/event-details/f5585e675af7afd4,f5585e675af7afd4,"January 15, 2022",UFC Fight Night: Kattar vs. Chikadze,UFC Fight Night,"Las Vegas, Nevada, USA"
10,http://ufcstats.com/event-details/2a470ad41c22c25a,2a470ad41c22c25a,"December 18, 2021",UFC Fight Night: Lewis vs. Daukaus,UFC Fight Night,"Las Vegas, Nevada, USA"
11,http://ufcstats.com/event-details/ef927e4fe2117ab8,ef927e4fe2117ab8,"December 11, 2021",UFC 269: Oliveira vs. Poirier,UFC 269,"Las Vegas, Nevada, USA"
12,http://ufcstats.com/event-details/509697e08673d2e5,509697e08673d2e5,"December 04, 2021",UFC Fight Night: Font vs. Aldo,UFC Fight Night,"Las Vegas, Nevada, USA"
13,http://ufcstats.com/event-details/c95fbc085e17a532,c95fbc085e17a532,"November 20, 2021",UFC Fight Night: Vieira vs. Tate,UFC Fight Night,"Las Vegas, Nevada, USA"
14,http://ufcstats.com/event-details/b5abaa65f87938eb,b5abaa65f87938eb,"November 13, 2021",UFC Fight Night: Holloway vs. Rodriguez,UFC Fight Night,"Las Vegas, Nevada, USA"
15,http://ufcstats.com/event-details/48e093ea1f43a053,48e093ea1f43a053,"November 06, 2021",UFC 268: Usman vs. Covington 2,UFC 268,"New York City, New York, USA"
16,http://ufcstats.com/event-details/3974fa35c917af1d,3974fa35c917af1d,"October 30, 2021",UFC 267: Blachowicz vs. Teixeira,UFC 267,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
17,http://ufcstats.com/event-details/8a9c6c4301f6d088,8a9c6c4301f6d088,"October 23, 2021",UFC Fight Night: Costa vs. Vettori,UFC Fight Night,"Las Vegas, Nevada, USA"
