,fightid,eventurlid,result,fullname,fighterid,fighterdetailsurl,knockdowns,strikes,takedowns,submission_attempts,weightclass,fightbonus,win_method,methodaction,finalround,finalround_finshtime
0,437ed9d8-b5fe-4b0c-a273-1eaee71507cd,1fac46d466abd5b8,WIN,Curtis Blaydes,fa6796c55d6c5440,http://ufcstats.com/fighter-details/fa6796c55d6c5440,1,30,0,0,Heavyweight,True,KO/TKO,Punch,2,0:17
1,437ed9d8-b5fe-4b0c-a273-1eaee71507cd,1fac46d466abd5b8,LOSS,Chris Daukaus,d0aaedcf7ccd0b45,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45,0,13,0,0,Heavyweight,False,KO/TKO,Punch,2,0:17
2,df07cc3a-aafa-438b-961a-c0d6980e65ae,1fac46d466abd5b8,WIN,Alexa Grasso,e8b731feff72294b,http://ufcstats.com/fighter-details/e8b731feff72294b,0,16,2,1,Women's Flyweight,False,SUB,Rear Naked Choke,1,3:57
3,df07cc3a-aafa-438b-961a-c0d6980e65ae,1fac46d466abd5b8,LOSS,Joanne Wood,12f91bfa8f1f723b,http://ufcstats.com/fighter-details/12f91bfa8f1f723b,0,34,0,0,Women's Flyweight,False,SUB,Rear Naked Choke,1,3:57
4,a293da22-527d-4a13-884f-d140c3122b6b,1fac46d466abd5b8,WIN,Bryan Barberena,a331233f597090a5,http://ufcstats.com/fighter-details/a331233f597090a5,0,111,0,0,Welterweight,True,S-DEC,,3,5:00
5,a293da22-527d-4a13-884f-d140c3122b6b,1fac46d466abd5b8,LOSS,Matt Brown,31123249b0bbf52e,http://ufcstats.com/fighter-details/31123249b0bbf52e,0,81,5,0,Welterweight,False,S-DEC,,3,5:00
6,7e17e0b0-4361-41ee-b29b-4b91c2d06720,1fac46d466abd5b8,WIN,Kai Kara-France,853eb0dd5c0e2149,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,0,51,0,0,Flyweight,False,U-DEC,,3,5:00
7,7e17e0b0-4361-41ee-b29b-4b91c2d06720,1fac46d466abd5b8,LOSS,Askar Askarov,b1d19449397541dc,http://ufcstats.com/fighter-details/b1d19449397541dc,0,27,2,2,Flyweight,False,U-DEC,,3,5:00
8,89353391-dfa8-4e6f-8d27-060a46d78537,1fac46d466abd5b8,WIN,Neil Magny,84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,0,54,1,0,Welterweight,False,S-DEC,,3,5:00
9,89353391-dfa8-4e6f-8d27-060a46d78537,1fac46d466abd5b8,LOSS,Max Griffin,b0d6a1d8ac3d563d,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d,1,67,0,0,Welterweight,False,S-DEC,,3,5:00
10,4cfb7604-6e44-4f3b-a87c-fa6826854357,1fac46d466abd5b8,WIN,Marc Diakiese,32c355b04fc57f3a,http://ufcstats.com/fighter-details/32c355b04fc57f3a,0,17,11,0,Lightweight,False,U-DEC,,3,5:00
11,4cfb7604-6e44-4f3b-a87c-fa6826854357,1fac46d466abd5b8,LOSS,Viacheslav Borshchev,19c591115a58982c,http://ufcstats.com/fighter-details/19c591115a58982c,0,12,0,0,Lightweight,False,U-DEC,,3,5:00
12,35873caf-aa8d-4696-8367-83fa1ca55d56,1fac46d466abd5b8,WIN,Sara McMann,7be74a12d7352df2,http://ufcstats.com/fighter-details/7be74a12d7352df2,0,24,4,0,Women's Bantamweight,False,U-DEC,,3,5:00
13,35873caf-aa8d-4696-8367-83fa1ca55d56,1fac46d466abd5b8,LOSS,Karol Rosa,351c4ec637380ad5,http://ufcstats.com/fighter-details/351c4ec637380ad5,0,26,1,0,Women's Bantamweight,False,U-DEC,,3,5:00
14,70be7246-fb1c-4e02-8de6-5f431741de71,1fac46d466abd5b8,WIN,Chris Gutierrez,45f0cc9d18f35137,http://ufcstats.com/fighter-details/45f0cc9d18f35137,1,41,0,0,Bantamweight,True,KO/TKO,Spinning Back Fist,2,2:34
15,70be7246-fb1c-4e02-8de6-5f431741de71,1fac46d466abd5b8,LOSS,Batgerel Danaa,3b0a516d2921e0d6,http://ufcstats.com/fighter-details/3b0a516d2921e0d6,0,30,1,0,Bantamweight,False,KO/TKO,Spinning Back Fist,2,2:34
16,051514be-0ef8-4484-b68a-3fb27cbc866e,1fac46d466abd5b8,WIN,Aliaskhab Khizriev,7ab478c397cd68ef,http://ufcstats.com/fighter-details/7ab478c397cd68ef,0,42,2,1,Middleweight,False,SUB,Rear Naked Choke,2,1:58
17,051514be-0ef8-4484-b68a-3fb27cbc866e,1fac46d466abd5b8,LOSS,Denis Tiuliulin,0112352cb32f5026,http://ufcstats.com/fighter-details/0112352cb32f5026,0,31,0,0,Middleweight,False,SUB,Rear Naked Choke,2,1:58
18,69950c9a-1d9b-4ba0-b945-4633e85ec271,1fac46d466abd5b8,WIN,Manon Fiorot,34ff304266360297,http://ufcstats.com/fighter-details/34ff304266360297,0,83,2,0,Women's Flyweight,False,U-DEC,,3,5:00
19,69950c9a-1d9b-4ba0-b945-4633e85ec271,1fac46d466abd5b8,LOSS,Jennifer Maia,8e1f36476ef02a6a,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,0,37,1,0,Women's Flyweight,False,U-DEC,,3,5:00
20,8fc90d02-dd05-4001-b9b8-c03c5db80ebe,1fac46d466abd5b8,WIN,Matheus Nicolau,1a31ef98efce7a79,http://ufcstats.com/fighter-details/1a31ef98efce7a79,1,36,0,0,Flyweight,False,U-DEC,,3,5:00
21,8fc90d02-dd05-4001-b9b8-c03c5db80ebe,1fac46d466abd5b8,LOSS,David Dvorak,9ada30894bf04e19,http://ufcstats.com/fighter-details/9ada30894bf04e19,0,39,0,0,Flyweight,False,U-DEC,,3,5:00
22,98ce72ba-9b4e-4f40-8d24-a6fce2e116d1,1fac46d466abd5b8,WIN,Luis Saldana,12e0fdc606f7e274,http://ufcstats.com/fighter-details/12e0fdc606f7e274,0,84,2,0,Featherweight,False,U-DEC,,3,5:00
23,98ce72ba-9b4e-4f40-8d24-a6fce2e116d1,1fac46d466abd5b8,LOSS,Bruno Souza,0e5c4e72237461bb,http://ufcstats.com/fighter-details/0e5c4e72237461bb,0,66,1,0,Featherweight,False,U-DEC,,3,5:00
24,0d97de90-d086-4bfb-bc6f-f10665033c6c,1d00756835ca67c9,WIN,Tom Aspinall,399afbabc02376b5,http://ufcstats.com/fighter-details/399afbabc02376b5,0,29,2,1,Heavyweight,True,SUB,Straight Armbar,1,3:45
25,0d97de90-d086-4bfb-bc6f-f10665033c6c,1d00756835ca67c9,LOSS,Alexander Volkov,279566840aa55bf2,http://ufcstats.com/fighter-details/279566840aa55bf2,0,13,0,0,Heavyweight,False,SUB,Straight Armbar,1,3:45
26,c4244739-da41-4d70-a708-63f9a007456c,1d00756835ca67c9,WIN,Arnold Allen,040a74bb0a465c54,http://ufcstats.com/fighter-details/040a74bb0a465c54,0,49,0,0,Featherweight,True,KO/TKO,Punches,1,2:33
27,c4244739-da41-4d70-a708-63f9a007456c,1d00756835ca67c9,LOSS,Dan Hooker,193b9d1858bc4df3,http://ufcstats.com/fighter-details/193b9d1858bc4df3,0,14,0,0,Featherweight,False,KO/TKO,Punches,1,2:33
28,4ac0db3a-4f59-4355-8918-3a16f9fcfe31,1d00756835ca67c9,WIN,Paddy Pimblett,7826923b47f8d72a,http://ufcstats.com/fighter-details/7826923b47f8d72a,0,3,1,1,Lightweight,True,SUB,Rear Naked Choke,1,3:49
29,4ac0db3a-4f59-4355-8918-3a16f9fcfe31,1d00756835ca67c9,LOSS,Kazula Vargas,ec18eb918121787c,http://ufcstats.com/fighter-details/ec18eb918121787c,0,7,0,0,Lightweight,False,SUB,Rear Naked Choke,1,3:49
30,971e5ec8-c4c6-41f1-8d52-26aba6642a63,1d00756835ca67c9,WIN,Gunnar Nelson,fd55393021a8c255,http://ufcstats.com/fighter-details/fd55393021a8c255,0,44,3,1,Welterweight,False,U-DEC,,3,5:00
31,971e5ec8-c4c6-41f1-8d52-26aba6642a63,1d00756835ca67c9,LOSS,Takashi Sato,8abac218746e04ca,http://ufcstats.com/fighter-details/8abac218746e04ca,0,9,0,0,Welterweight,False,U-DEC,,3,5:00
32,5604963f-ed6a-4a19-99a2-fec479a1cc90,1d00756835ca67c9,WIN,Molly McCann,51018a31ddf31eb2,http://ufcstats.com/fighter-details/51018a31ddf31eb2,1,85,2,0,Women's Flyweight,True,KO/TKO,Spinning Back Elbow,3,1:52
33,5604963f-ed6a-4a19-99a2-fec479a1cc90,1d00756835ca67c9,LOSS,Luana Carolina,528b071cf3da7c56,http://ufcstats.com/fighter-details/528b071cf3da7c56,0,64,0,0,Women's Flyweight,False,KO/TKO,Spinning Back Elbow,3,1:52
34,3a800a92-6e75-4583-8b80-d069745bba4f,1d00756835ca67c9,WIN,Ilia Topuria,54f64b5e283b0ce7,http://ufcstats.com/fighter-details/54f64b5e283b0ce7,1,20,1,0,Lightweight,True,KO/TKO,Punch,2,1:07
35,3a800a92-6e75-4583-8b80-d069745bba4f,1d00756835ca67c9,LOSS,Jai Herbert,4c88a1db5a46c6a4,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4,1,22,0,0,Lightweight,False,KO/TKO,Punch,2,1:07
36,eec1c01b-234b-4967-8295-046bb937c3c0,1d00756835ca67c9,WIN,Makwan Amirkhani,87a1dc546b1c5caf,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,0,0,0,1,Featherweight,True,SUB,Anaconda Choke,1,0:57
37,eec1c01b-234b-4967-8295-046bb937c3c0,1d00756835ca67c9,LOSS,Mike Grundy,56fcb2c4d99f9d1b,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b,0,0,1,0,Featherweight,False,SUB,Anaconda Choke,1,0:57
38,b698c1db-727c-465a-bc91-7e5b5bcbbb9f,1d00756835ca67c9,WIN,Sergei Pavlovich,f14cf73e51b29254,http://ufcstats.com/fighter-details/f14cf73e51b29254,1,21,0,0,Heavyweight,True,KO/TKO,Punches,1,4:03
39,b698c1db-727c-465a-bc91-7e5b5bcbbb9f,1d00756835ca67c9,LOSS,Shamil Abdurakhimov,2f5cbecbbe18bac4,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,0,17,0,0,Heavyweight,False,KO/TKO,Punches,1,4:03
40,37b2e89e-1b09-47de-87d9-7fdaf09c4213,1d00756835ca67c9,WIN,Paul Craig,eabf206b162b3b83,http://ufcstats.com/fighter-details/eabf206b162b3b83,0,2,1,1,Light Heavyweight,True,SUB,Triangle Choke,1,3:57
41,37b2e89e-1b09-47de-87d9-7fdaf09c4213,1d00756835ca67c9,LOSS,Nikita Krylov,1091d4d957141094,http://ufcstats.com/fighter-details/1091d4d957141094,0,19,1,0,Light Heavyweight,False,SUB,Triangle Choke,1,3:57
42,7a121004-40f4-41a5-83b1-6624ba9b3590,1d00756835ca67c9,WIN,Jack Shore,b8a85389d115e35a,http://ufcstats.com/fighter-details/b8a85389d115e35a,2,70,3,0,Bantamweight,False,U-DEC,,3,5:00
43,7a121004-40f4-41a5-83b1-6624ba9b3590,1d00756835ca67c9,LOSS,Timur Valiev,45e738622ea2c02c,http://ufcstats.com/fighter-details/45e738622ea2c02c,0,72,2,1,Bantamweight,False,U-DEC,,3,5:00
44,8613a45f-fd47-4537-a373-c73bbc6bbbd7,1d00756835ca67c9,WIN,Elise Reed,ac7c765882f2c68c,http://ufcstats.com/fighter-details/ac7c765882f2c68c,0,76,0,0,Women's Strawweight,False,S-DEC,,3,5:00
45,8613a45f-fd47-4537-a373-c73bbc6bbbd7,1d00756835ca67c9,LOSS,Cory McKenna,3351aa64aa83c4d9,http://ufcstats.com/fighter-details/3351aa64aa83c4d9,0,60,3,0,Women's Strawweight,False,S-DEC,,3,5:00
46,ce4a56e8-c016-4e6c-aee2-fb728740ac6c,1d00756835ca67c9,WIN,Muhammad Mokaev,75353550928a7921,http://ufcstats.com/fighter-details/75353550928a7921,1,2,0,1,Flyweight,True,SUB,Guillotine Choke,1,0:58
47,ce4a56e8-c016-4e6c-aee2-fb728740ac6c,1d00756835ca67c9,LOSS,Cody Durden,7f6ed67d3ed3c036,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,0,1,1,0,Flyweight,False,SUB,Guillotine Choke,1,0:58
48,5b0feafb-8843-4fb4-82fb-1bb571a3bc74,1f9344211ca7fd60,WIN,Magomed Ankalaev,d802174b0c0c1f4e,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,0,78,1,0,Light Heavyweight,False,U-DEC,,5,5:00
49,5b0feafb-8843-4fb4-82fb-1bb571a3bc74,1f9344211ca7fd60,LOSS,Thiago Santos,dea070ed4a2a8281,http://ufcstats.com/fighter-details/dea070ed4a2a8281,1,60,0,0,Light Heavyweight,False,U-DEC,,5,5:00
