,id,fullname,Height,Weight,Reach,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,lastupdated,HightCM,WeightKG,ReachCM
0,fa6796c55d6c5440,Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.52,51%,1.68,60%,6.06,53%,33%,0.0,2022-03-31 21:46:11.970931,193.04,120.2,203.2
1,d0aaedcf7ccd0b45,Chris Daukaus,"6' 3""",250 lbs.,"76""",Orthodox,"Sep 25, 1989",6.47,50%,4.02,59%,0.00,0%,100%,0.0,2022-03-31 21:46:11.970931,190.5,113.4,193.04
2,e8b731feff72294b,Alexa Grasso,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",4.92,43%,3.79,63%,0.54,57%,60%,0.7,2022-03-31 21:46:11.970931,165.1,56.7,167.64
3,12f91bfa8f1f723b,Joanne Wood,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985",6.76,50%,4.54,52%,1.53,55%,59%,0.4,2022-03-31 21:46:11.970931,167.64,56.7,165.1
4,a331233f597090a5,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",5.61,49%,4.83,45%,0.17,25%,55%,0.3,2022-03-31 21:46:11.970931,182.88,77.11,182.88
5,31123249b0bbf52e,Matt Brown,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.77,55%,2.94,54%,1.71,46%,64%,1.3,2022-03-31 21:46:11.970931,182.88,77.11,190.5
6,853eb0dd5c0e2149,Kai Kara-France,"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",4.84,40%,3.51,65%,0.43,21%,86%,0.0,2022-03-31 21:46:11.970931,162.56,56.7,175.26
7,b1d19449397541dc,Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.05,54%,2.80,57%,2.60,24%,66%,0.4,2022-03-31 21:46:11.970931,167.64,56.7,170.18
8,84b3e7d38f2d2ec5,Neil Magny,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.67,45%,2.17,55%,2.37,40%,58%,0.3,2022-03-31 21:46:11.970931,190.5,77.11,203.2
9,b0d6a1d8ac3d563d,Max Griffin,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",4.36,50%,3.94,57%,1.48,50%,75%,0.4,2022-03-31 21:46:11.970931,180.34,77.11,193.04
10,32c355b04fc57f3a,Marc Diakiese,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",2.84,39%,2.56,53%,3.17,42%,62%,0.0,2022-03-31 21:46:11.970931,177.8,70.31,185.42
11,19c591115a58982c,Viacheslav Borshchev,"5' 11""",155 lbs.,"69""",Orthodox,"Jan 08, 1992",2.85,63%,2.64,50%,0.00,0%,37%,0.0,2022-03-31 21:46:11.970931,180.34,70.31,175.26
12,7be74a12d7352df2,Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.26,46%,1.92,47%,4.38,65%,50%,0.5,2022-03-31 21:46:11.970931,167.64,61.23,167.64
13,351c4ec637380ad5,Karol Rosa,"5' 5""",135 lbs.,"67""",Orthodox,"Dec 30, 1994",6.65,55%,4.45,50%,1.40,50%,72%,0.0,2022-03-31 21:46:11.970931,165.1,61.23,170.18
14,45f0cc9d18f35137,Chris Gutierrez,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",4.69,58%,2.61,63%,0.44,37%,73%,0.1,2022-03-31 21:46:11.970931,175.26,61.23,170.18
15,3b0a516d2921e0d6,Batgerel Danaa,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",5.66,37%,3.45,56%,0.53,50%,57%,0.0,2022-03-31 21:46:11.970931,170.18,61.23,177.8
16,7ab478c397cd68ef,Aliaskhab Khizriev,"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",6.03,64%,4.36,62%,5.77,60%,100%,3.9,2022-03-31 21:46:11.970931,175.26,83.91,187.96
